epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,414.53,0.80993,0.44642,1.29432,1,0.97108,0.98796,0.80367,0.80433,0.38957,1.50823,0.0015248,0.0015248,0.0015248
74,420.783,0.78519,0.44289,1.31063,0.99757,0.97575,0.99072,0.80451,0.80824,0.39215,1.45749,0.0015182,0.0015182,0.0015182
75,425.823,0.79578,0.45056,1.30152,0.9964,0.97619,0.99004,0.79485,0.83377,0.39397,1.54665,0.0015116,0.0015116,0.0015116
76,431.565,0.80141,0.44486,1.28788,1,0.97562,0.99044,0.80698,0.78402,0.38101,1.50971,0.001505,0.001505,0.001505
77,437.053,0.78134,0.44468,1.30777,0.99756,0.97307,0.98951,0.80971,0.7968,0.38893,1.46799,0.0014984,0.0014984,0.0014984
78,442.127,0.78813,0.44644,1.29711,0.99727,0.97143,0.98857,0.80555,0.78521,0.38352,1.48841,0.0014918,0.0014918,0.0014918
79,448.264,0.77899,0.44358,1.26608,0.99031,0.97303,0.98858,0.79388,0.81128,0.41105,1.52607,0.0014852,0.0014852,0.0014852
80,454.493,0.78967,0.45736,1.30954,1,0.97574,0.99102,0.80706,0.81492,0.39547,1.43119,0.0014786,0.0014786,0.0014786
81,460.815,0.78058,0.44189,1.27584,0.99757,0.97806,0.99127,0.81326,0.79204,0.38034,1.53142,0.001472,0.001472,0.001472
82,466.011,0.78922,0.44513,1.29618,0.99715,0.98333,0.99448,0.80728,0.80618,0.38937,1.54495,0.0014654,0.0014654,0.0014654
83,472.309,0.78411,0.44402,1.28646,1,0.9775,0.99167,0.80364,0.79261,0.38374,1.45644,0.0014588,0.0014588,0.0014588
84,477.446,0.78323,0.4462,1.2977,0.99902,0.96667,0.98946,0.81032,0.79342,0.3836,1.43083,0.0014522,0.0014522,0.0014522
85,483.123,0.77015,0.43363,1.28759,0.99508,0.96369,0.98843,0.79949,0.81422,0.38668,1.48851,0.0014456,0.0014456,0.0014456
86,488.625,0.76601,0.43008,1.28696,0.99755,0.96759,0.98974,0.80686,0.78891,0.38432,1.45172,0.001439,0.001439,0.001439
87,493.659,0.75992,0.43248,1.23441,0.99514,0.97574,0.9903,0.80864,0.79576,0.37993,1.45425,0.0014324,0.0014324,0.0014324
88,499.886,0.77031,0.43871,1.26726,0.99186,0.97857,0.99052,0.80484,0.80694,0.3786,1.42417,0.0014258,0.0014258,0.0014258
89,505.015,0.7721,0.4453,1.30285,0.99628,0.97143,0.9895,0.81603,0.77541,0.37497,1.47006,0.0014192,0.0014192,0.0014192
90,511.321,0.7908,0.44308,1.30102,0.99632,0.98333,0.9915,0.81027,0.79209,0.38239,1.48646,0.0014126,0.0014126,0.0014126
91,516.442,0.78727,0.44816,1.29144,0.99693,0.97857,0.99162,0.81165,0.77649,0.38418,1.50691,0.001406,0.001406,0.001406
92,521.966,0.75743,0.43928,1.25984,0.99958,0.98095,0.98973,0.81282,0.77305,0.38624,1.48963,0.0013994,0.0013994,0.0013994
93,527.613,0.75715,0.43243,1.25607,0.99706,0.97619,0.98946,0.81231,0.76679,0.38,1.45638,0.0013928,0.0013928,0.0013928
94,532.789,0.75347,0.43034,1.27219,0.99933,0.97857,0.99122,0.81323,0.78343,0.39046,1.4794,0.0013862,0.0013862,0.0013862
95,539.04,0.77938,0.4416,1.27431,0.9943,0.97619,0.99109,0.79938,0.81464,0.38924,1.51076,0.0013796,0.0013796,0.0013796
96,544.214,0.77225,0.43766,1.26852,0.98798,0.97814,0.98889,0.80736,0.79148,0.37781,1.48675,0.001373,0.001373,0.001373
97,550.396,0.78078,0.43799,1.24942,0.99212,0.97619,0.98994,0.81007,0.79096,0.38465,1.43206,0.0013664,0.0013664,0.0013664
98,555.461,0.76866,0.43708,1.27131,0.99065,0.97619,0.99303,0.81259,0.79064,0.38699,1.45028,0.0013598,0.0013598,0.0013598
99,560.739,0.75179,0.42369,1.25571,0.99515,0.97792,0.99169,0.81562,0.7741,0.37658,1.46357,0.0013532,0.0013532,0.0013532
100,566.695,0.74303,0.42816,1.22298,1,0.97065,0.98651,0.81262,0.78863,0.38369,1.4634,0.0013466,0.0013466,0.0013466
101,571.844,0.7475,0.42511,1.25743,0.99684,0.97143,0.98688,0.8154,0.77477,0.37928,1.47744,0.00134,0.00134,0.00134
102,578.174,0.7371,0.43475,1.23902,0.99697,0.97857,0.9906,0.8101,0.78153,0.38078,1.48466,0.0013334,0.0013334,0.0013334
103,583.373,0.75117,0.43068,1.25561,0.99802,0.96667,0.98626,0.81116,0.78232,0.37972,1.46337,0.0013268,0.0013268,0.0013268
